product_id,product_name,variant_sku,variant_name,technical_spec,product_type,unit,stock,pack_quantity,availability,ashkan_url,price,image_1,image_2,product_pack_quantity,variant_count,total_product_stock,product_availability,main_image,display_status
8680010,نمکدان هما,868001002,نمکدان هما طوسی,12,محصول نهایی,بسته,0.0,180.0,ناموجود,https://ashkanplastic.com/product/8680010/,,,,180.0,2,142.0,موجود,,فعال
8290010,وان بچه نیما وانیلی,829001009,وان بچه نیما وانیلی,12,محصول نهایی,بسته,2.0,,موجود,https://ashkanplastic.com/product/8290010/,,,,,1,2.0,موجود,,فعال
8210210,وان بیضی 55 سیب,821021003,وان بیضی 55 سیب سفید,12,محصول نهایی,بسته,64.0,12.0,موجود,https://ashkanplastic.com/product/8210210/,,,,12.0,6,190.083333,موجود,,فعال
8210210,وان بیضی 55 سیب,821021001,وان بیضی 55 سیب صورتی,12,محصول نهایی,بسته,0.0,12.0,ناموجود,https://ashkanplastic.com/product/8210210/,,,,12.0,6,190.083333,موجود,,فعال
8210210,وان بیضی 55 سیب,821021002,وان بیضی 55 سیب طوسی,12,محصول نهایی,بسته,40.0,12.0,موجود,https://ashkanplastic.com/product/8210210/,,,,12.0,6,190.083333,موجود,,فعال
8210210,وان بیضی 55 سیب,821021007,وان بیضی 55 سیب کرپ,12,محصول نهایی,بسته,44.083333,12.0,موجود,https://ashkanplastic.com/product/8210210/,,,,12.0,6,190.083333,موجود,,فعال
8210210,وان بیضی 55 سیب,821021017,وان بیضی 55 سیب موکا,12,محصول نهایی,بسته,1.0,12.0,موجود,https://ashkanplastic.com/product/8210210/,,,,12.0,6,190.083333,موجود,,فعال
8210210,وان بیضی 55 سیب,821021009,وان بیضی 55 سیب وانیلی,12,محصول نهایی,بسته,41.0,12.0,موجود,https://ashkanplastic.com/product/8210210/,,,,12.0,6,190.083333,موجود,,فعال
8210212,وان بیضی 65 سیب,821021203,وان بیضی 65 سیب سفید,12,محصول نهایی,بسته,47.0,6.0,موجود,https://ashkanplastic.com/product/8210212/,,,,6.0,5,214.166667,موجود,,فعال
8210212,وان بیضی 65 سیب,821021201,وان بیضی 65 سیب صورتی,12,محصول نهایی,بسته,0.0,6.0,ناموجود,https://ashkanplastic.com/product/8210212/,,,,6.0,5,214.166667,موجود,,فعال
8210212,وان بیضی 65 سیب,821021202,وان بیضی 65 سیب طوسی,12,محصول نهایی,بسته,59.166667,6.0,موجود,https://ashkanplastic.com/product/8210212/,,,,6.0,5,214.166667,موجود,,فعال
8210212,وان بیضی 65 سیب,821021207,وان بیضی 65 سیب کرپ,12,محصول نهایی,بسته,52.0,6.0,موجود,https://ashkanplastic.com/product/8210212/,,,,6.0,5,214.166667,موجود,,فعال
8210212,وان بیضی 65 سیب,821021209,وان بیضی 65 سیب وانیلی,12,محصول نهایی,بسته,56.0,6.0,موجود,https://ashkanplastic.com/product/8210212/,,,,6.0,5,214.166667,موجود,,فعال
8210214,وان بیضی 85 سیب,821021403,وان بیضی 85 سیب سفید,12,محصول نهایی,بسته,52.166667,6.0,موجود,https://ashkanplastic.com/product/8210214/,,,,6.0,6,317.33333400000004,موجود,,فعال
8210214,وان بیضی 85 سیب,821021401,وان بیضی 85 سیب صورتی,12,محصول نهایی,بسته,0.0,6.0,ناموجود,https://ashkanplastic.com/product/8210214/,,,,6.0,6,317.33333400000004,موجود,,فعال
8210214,وان بیضی 85 سیب,821021402,وان بیضی 85 سیب طوسی,12,محصول نهایی,بسته,106.166667,6.0,موجود,https://ashkanplastic.com/product/8210214/,,,,6.0,6,317.33333400000004,موجود,,فعال
8210214,وان بیضی 85 سیب,821021407,وان بیضی 85 سیب کرپ,12,محصول نهایی,بسته,67.0,6.0,موجود,https://ashkanplastic.com/product/8210214/,,,,6.0,6,317.33333400000004,موجود,,فعال
8210214,وان بیضی 85 سیب,821021411,وان بیضی 85 سیب کرم,12,محصول نهایی,بسته,9.0,6.0,موجود,https://ashkanplastic.com/product/8210214/,,,,6.0,6,317.33333400000004,موجود,,فعال
8210214,وان بیضی 85 سیب,821021409,وان بیضی 85 سیب وانیلی,12,محصول نهایی,بسته,83.0,6.0,موجود,https://ashkanplastic.com/product/8210214/,,,,6.0,6,317.33333400000004,موجود,,فعال
8210116,وان بیضی 90 سیب,821011603,وان بیضی 90 سیب سفید,12,محصول نهایی,بسته,49.0,6.0,موجود,https://ashkanplastic.com/product/8210116/,,,,6.0,4,169.166667,موجود,,فعال
8210116,وان بیضی 90 سیب,821011602,وان بیضی 90 سیب طوسی,12,محصول نهایی,بسته,46.0,6.0,موجود,https://ashkanplastic.com/product/8210116/,,,,6.0,4,169.166667,موجود,,فعال
8210116,وان بیضی 90 سیب,821011607,وان بیضی 90 سیب کرپ,12,محصول نهایی,بسته,60.166667,6.0,موجود,https://ashkanplastic.com/product/8210116/,,,,6.0,4,169.166667,موجود,,فعال
