sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
409002009,جاقاشقی کابینتی پارمیس وانیلی,12,محصول نهایی,کارتن,0,92,1.125,205000,2,8,4090020,https://ashkanplastic.com/product/4090020/
402001010,جاقاشقی مدرن اشکان الوان,12,محصول نهایی,بسته,0,0,0.041667,,0,,4020010,https://ashkanplastic.com/product/4020010/
439891008,جانانی آس 1,12,محصول نهایی,کارتن,0,322,854.25,210000,354,12,4398910,https://ashkanplastic.com/product/4398910/
439891108,جانانی آس 2,12,محصول نهایی,کارتن,0,273,862.833334,339500,256,12,4398911,https://ashkanplastic.com/product/4398911/
439891208,جانانی آس 3,12,محصول نهایی,کارتن,0,143,970.166667,511000,360.5,6,4398912,https://ashkanplastic.com/product/4398912/
212001010,جایخی الوان درب شفاف اشکان,12,محصول نهایی,کارتن,0,172,703,56500,168,48,2120010,https://ashkanplastic.com/product/2120010/
219001010,جایخی برفک پک 2 عددی الوان,12,محصول نهایی,کارتن,0,85,719,120000,196,24,2190010,https://ashkanplastic.com/product/2190010/
442001010,جعبه ابزار همه کاره اشکان الوان,12,محصول نهایی,بسته,0,108,680.833333,309000,304,12,4420010,https://ashkanplastic.com/product/4420010/
442001008,جعبه ابزار همه کاره اشکان شفاف,12,محصول نهایی,بسته,0,0,0.333333,309000,0,12,4420010,https://ashkanplastic.com/product/4420010/
442001002,جعبه ابزار همه کاره اشکان طوسی,12,محصول نهایی,بسته,0,0,0.499999,309000,0,12,4420010,https://ashkanplastic.com/product/4420010/
454003010,جعبه نظم دهنده سه پارچه دایانا الوان,اشکان,محصول نهایی,کارتن,0,101,0,122000,63,24,4540030,https://ashkanplastic.com/product/4540030/
454001001,جعبه همه کاره دایانا بدون درب 1 صورتی,12,محصول نهایی,بسته,0,64,0.305556,107500,36,36,4540010,https://ashkanplastic.com/product/4540010/
454001002,جعبه همه کاره دایانا بدون درب 1 طوسی,12,محصول نهایی,بسته,0,23,166.055556,107500,72,36,4540010,https://ashkanplastic.com/product/4540010/
454001007,جعبه همه کاره دایانا بدون درب 1 کرپ,12,محصول نهایی,بسته,0,0,65.166667,107500,51,36,4540010,https://ashkanplastic.com/product/4540010/
